Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits
129655.54,,,s,2.97E-10,6.60E-11,6.60E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
129695.592,,,s,3.13E-10,6.80E-11,6.80E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
129742.58,,,s,2.25E-10,5.09E-11,5.09E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
129799.783,,,s,2.84E-10,6.49E-11,6.49E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
129830.456,,,s,5.14E-10,1.12E-10,1.12E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
129888.791,,,s,2.67E-10,4.45E-11,4.45E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134221.12,,,s,2.43E-10,5.54E-11,5.54E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134251.333,,,s,1.85E-10,4.30E-11,4.30E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134303.486,,,s,1.87E-10,4.34E-11,4.34E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134337.962,,,s,3.48E-10,7.79E-11,7.79E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134368.699,,,s,2.50E-10,5.41E-11,5.41E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134399.243,,,s,3.38E-10,7.33E-11,7.33E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134437.764,,,s,1.83E-10,4.03E-11,4.03E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134489.779,,,s,1.57E-10,3.51E-11,3.51E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134549.573,,,s,1.56E-10,3.47E-11,3.47E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134593.207,,,s,2.65E-10,5.92E-11,5.92E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134625.987,,,s,2.40E-10,5.34E-11,5.34E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134662.283,,,s,3.04E-10,6.64E-11,6.64E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134701.087,,,s,2.07E-10,4.59E-11,4.59E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134744.113,,,s,2.14E-10,4.73E-11,4.73E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134791.786,,,s,1.56E-10,3.49E-11,3.49E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134836.918,,,s,2.01E-10,4.49E-11,4.49E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134874.904,,,s,2.28E-10,5.11E-11,5.11E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
134931.471,,,s,2.09E-10,3.56E-11,3.56E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
142063.79,,,s,5.28E-10,1.20E-10,1.20E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
142093.573,,,s,3.52E-10,7.82E-11,7.82E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
142133.368,,,s,2.85E-10,6.48E-11,6.48E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
142175.992,,,s,3.20E-10,7.42E-11,7.42E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
142224.909,,,s,2.77E-10,6.05E-11,6.05E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
142277.443,,,s,2.42E-10,5.56E-11,5.56E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
142346.2,,,s,0.187079521,0.001723066,0.001723066,mJy,Spectral Flux,3.94E+14,,,Hz
142346.2,,,s,0.353204517,0.006506268,0.006506268,mJy,Spectral Flux,3.29E+14,,,Hz
142356.633,,,s,1.64E-10,3.30E-11,3.30E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
145898.521,,,s,2.28E-10,5.35E-11,5.35E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
145990.053,,,s,3.67E-10,8.13E-11,8.13E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146049.089,,,s,4.51E-10,1.02E-10,1.02E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146116.284,,,s,2.97E-10,6.75E-11,6.75E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146206.039,,,s,2.86E-10,6.33E-11,6.33E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146296.304,,,s,3.61E-10,7.88E-11,7.88E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146386.949,,,s,2.52E-10,6.25E-11,6.25E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146492.755,,,s,1.79E-10,4.22E-11,4.22E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146591.422,,,s,3.25E-10,7.40E-11,7.40E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146674.914,,,s,2.20E-10,5.45E-11,5.45E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146797.02,,,s,2.11E-10,5.06E-11,5.06E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146890.776,,,s,2.39E-10,5.57E-11,5.57E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
146987.83,,,s,3.13E-10,7.12E-11,7.12E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
147088.747,,,s,1.93E-10,4.69E-11,4.69E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
147183.652,,,s,2.85E-10,6.37E-11,6.37E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
147283.613,,,s,2.32E-10,5.18E-11,5.18E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152296.619,,,s,2.08E-10,4.83E-11,4.83E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152361.81,,,s,2.23E-10,5.27E-11,5.27E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152417.723,,,s,2.68E-10,6.59E-11,6.59E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152479.403,,,s,2.05E-10,4.59E-11,4.59E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152549.942,,,s,2.49E-10,5.23E-11,5.23E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152595.242,,,s,3.62E-10,8.25E-11,8.25E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152634.857,,,s,2.91E-10,6.50E-11,6.50E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152686.006,,,s,1.99E-10,4.62E-11,4.62E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152775.141,,,s,1.59E-10,3.68E-11,3.68E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152853.996,,,s,1.54E-10,3.70E-11,3.70E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
