Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
890.0000064,,,s,1.645991533,0.348421565,0.348421565,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
974.9999808,,,s,1.601938232,0.361237071,0.361237071,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
12018.99997,,,s,0.187026289,0.032279055,0.032279055,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
28663.99998,,,s,0.064478014,0.019343404,0.019343404,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
29379.99997,,,s,0.064478014,0.012895603,0.012895603,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
41040,,,s,0.019343404,0.012895603,0.012895603,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
877.0000032,,,s,0.699016918,0.156038615,0.156038615,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
960.999984,,,s,1.007937298,0.182871845,0.182871845,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
6761.000016,,,s,0.236763795,0.013371517,0.013371517,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
28110.99997,,,s,0.031117527,0.004464689,0.004464689,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
40584.99997,,,s,0.013371517,0.004464689,0.004464689,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
946.9999872,,,s,1.231714012,0.299515156,0.299515156,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
5983.999978,,,s,0.323072528,0.015800266,0.015800266,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
24006.99997,,,s,0.059229963,0.011845993,0.011845993,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
39682.99996,,,s,0.027595778,0.00789172,0.00789172,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
51257.00002,,,s,0.015800266,0.00789172,0.00789172,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
919.9999872,,,s,0.509606757,0.114444535,0.114444535,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
1139.999962,,,s,0.446370882,0.035089711,0.035089711,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
17972.99997,,,s,0.039677412,0.004674495,0.004674495,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
34805.99998,,,s,0.014011086,0.002331048,0.002331048,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
5915.461,,,s,9.46E-11,2.13E-11,2.13E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
6007.673,,,s,1.20E-10,2.69E-11,2.69E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
6111.402,,,s,9.74E-11,2.20E-11,2.20E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
6215.105,,,s,1.15E-10,2.51E-11,2.51E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
6315.492,,,s,8.21E-11,1.85E-11,1.85E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
6414.126,,,s,1.47E-10,3.28E-11,3.28E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
