Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits,,Obs Coeff,Unabs Coeff,Ratio Coeff,Unabsorbed Flux,Unabsorbed Flux Error
214.2507,0.4553,2.92E-08,3.87E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.10E-08,4.11E-09
215.242,0.536,2.57E-08,3.37E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.73E-08,3.58E-09
216.1525,0.4036,3.45E-08,4.55E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.66E-08,4.83E-09
217.0165,0.4901,2.71E-08,3.65E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.88E-08,3.87E-09
218.168,0.673,2.24E-08,2.87E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.38E-08,3.04E-09
219.1716,0.4498,3.13E-08,4.03E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.33E-08,4.28E-09
220.0672,0.4718,2.98E-08,4.01E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.17E-08,4.25E-09
221.06,0.578,2.19E-08,3.07E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.32E-08,3.26E-09
222.1338,0.4889,2.78E-08,3.70E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.95E-08,3.93E-09
223.402,0.8,1.92E-08,2.57E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.04E-08,2.73E-09
224.4708,0.4828,2.72E-08,3.71E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.89E-08,3.94E-09
225.623,0.67,2.11E-08,2.79E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.24E-08,2.96E-09
226.72,0.499,2.69E-08,3.49E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.86E-08,3.70E-09
227.744,0.513,2.51E-08,3.32E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.67E-08,3.52E-09
228.898,0.601,2.19E-08,3.12E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.32E-08,3.31E-09
229.9339,0.4965,2.93E-08,3.84E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.11E-08,4.08E-09
230.799,0.4471,3.00E-08,4.01E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.18E-08,4.26E-09
231.6594,0.4072,3.41E-08,4.46E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.62E-08,4.74E-09
232.694,0.656,2.16E-08,2.85E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.29E-08,3.03E-09
233.6912,0.418,3.33E-08,4.28E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.54E-08,4.54E-09
234.611,0.505,2.35E-08,3.13E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.50E-08,3.33E-09
235.768,0.54,2.56E-08,3.43E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.71E-08,3.64E-09
236.891,0.636,2.27E-08,3.15E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.41E-08,3.35E-09
237.7983,0.4135,2.75E-08,3.64E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.92E-08,3.86E-09
238.876,0.523,2.54E-08,3.32E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.70E-08,3.53E-09
239.8721,0.4396,2.85E-08,3.74E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.03E-08,3.98E-09
240.884,0.512,2.57E-08,3.28E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.72E-08,3.48E-09
242.133,0.694,2.09E-08,2.69E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.22E-08,2.86E-09
243.201,0.4593,3.01E-08,3.92E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.20E-08,4.16E-09
244.306,0.668,2.08E-08,2.71E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.21E-08,2.88E-09
245.39,0.455,2.46E-08,3.28E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.61E-08,3.48E-09
246.698,0.68,1.95E-08,2.71E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.07E-08,2.88E-09
247.944,0.616,2.32E-08,3.04E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.46E-08,3.23E-09
249.026,0.532,2.45E-08,3.18E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.60E-08,3.38E-09
250.145,0.549,2.50E-08,3.28E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.66E-08,3.48E-09
251.252,0.579,2.28E-08,3.06E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.42E-08,3.25E-09
252.416,0.583,2.42E-08,3.17E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.57E-08,3.36E-09
253.584,0.623,2.34E-08,3.15E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.49E-08,3.34E-09
254.682,0.568,2.14E-08,2.90E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.28E-08,3.08E-09
255.797,0.452,2.58E-08,3.37E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.74E-08,3.58E-09
256.947,0.55,2.48E-08,3.26E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.63E-08,3.47E-09
258.143,0.665,2.08E-08,2.77E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.20E-08,2.94E-09
259.393,0.634,2.12E-08,2.85E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.25E-08,3.02E-09
260.805,0.801,1.78E-08,2.41E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.89E-08,2.56E-09
262.014,0.544,2.24E-08,3.01E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.38E-08,3.20E-09
263.303,0.66,2.11E-08,2.84E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,2.24E-08,3.02E-09
