Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,,
244.4816,,,s,3.21E-09,4.88E-10,-4.88E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
245.2804,,,s,2.92E-09,4.35E-10,-4.35E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
246.0457,,,s,3.02E-09,4.50E-10,-4.50E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
246.8998,,,s,2.65E-09,3.95E-10,-3.95E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
247.7191,,,s,2.65E-09,3.95E-10,-3.95E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
248.6476,,,s,2.45E-09,3.65E-10,-3.65E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
249.4781,,,s,3.93E-09,5.98E-10,-5.98E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
250.2308,,,s,2.47E-09,3.68E-10,-3.68E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
251.0691,,,s,3.04E-09,4.52E-10,-4.52E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
251.985,,,s,2.40E-09,3.81E-10,-3.81E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
252.8447,,,s,2.36E-09,3.59E-10,-3.59E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
253.7836,,,s,3.20E-09,4.86E-10,-4.86E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
254.673,,,s,1.95E-09,2.90E-10,-2.90E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
255.6757,,,s,2.91E-09,4.43E-10,-4.43E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
256.864,,,s,1.76E-09,2.62E-10,-2.62E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
257.8782,,,s,2.51E-09,3.74E-10,-3.74E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
258.961,,,s,1.98E-09,2.95E-10,-2.95E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
260.16,,,s,2.04E-09,3.11E-10,-3.11E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
261.184,,,s,2.24E-09,3.34E-10,-3.34E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
262.1062,,,s,2.66E-09,3.97E-10,-3.97E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
263.144,,,s,2.06E-09,3.07E-10,-3.07E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
264.395,,,s,2.01E-09,3.00E-10,-3.00E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
265.48,,,s,2.05E-09,3.12E-10,-3.12E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
266.6,,,s,2.01E-09,3.00E-10,-3.00E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
267.68,,,s,2.24E-09,3.41E-10,-3.41E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
268.726,,,s,2.23E-09,3.33E-10,-3.33E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
269.791,,,s,2.27E-09,3.45E-10,-3.45E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
270.792,,,s,2.26E-09,3.37E-10,-3.37E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
271.859,,,s,1.83E-09,2.72E-10,-2.72E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
273.101,,,s,2.28E-09,3.40E-10,-3.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
274.293,,,s,1.94E-09,2.89E-10,-2.89E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
