Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include,,,,,,,,,,,,,,
920.9656,s,3.97E-09,5.59E-10,5.59E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
921.6501,s,4.50E-09,5.64E-10,5.64E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
922.3245,s,4.25E-09,5.27E-10,5.27E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
923.0683,s,4.60E-09,5.65E-10,5.65E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
923.7095,s,4.48E-09,5.55E-10,5.55E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
924.4656,s,4.08E-09,4.98E-10,4.98E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
925.1453,s,3.96E-09,6.01E-10,6.01E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
925.6637,s,3.74E-09,5.57E-10,5.57E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
926.2709,s,3.98E-09,5.04E-10,5.04E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
926.9915,s,3.79E-09,5.76E-10,5.76E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
927.589,s,4.88E-09,5.96E-10,5.96E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
928.2865,s,4.68E-09,5.72E-10,5.72E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
928.929,s,4.28E-09,5.24E-10,5.24E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
929.6172,s,3.50E-09,5.22E-10,5.22E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
930.243,s,4.81E-09,5.88E-10,5.88E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
930.9015,s,4.01E-09,4.90E-10,4.90E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
