Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
97.3296,,,seconds,6.58E-09,9.94E-10,9.94E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
98.3232,,,seconds,7.69E-09,1.15E-09,1.15E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
99.1161,,,seconds,7.32E-09,1.18E-09,1.18E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
99.9211,,,seconds,7.92E-09,1.34E-09,1.34E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
100.8466,,,seconds,6.65E-09,1.19E-09,1.19E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
101.774,,,seconds,4.83E-09,8.70E-10,8.70E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
102.907,,,seconds,4.12E-09,7.60E-10,7.60E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
104.004,,,seconds,5.97E-09,1.13E-09,1.13E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
104.8378,,,seconds,5.49E-09,1.04E-09,1.04E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
105.7515,,,seconds,5.33E-09,1.01E-09,1.01E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
106.6857,,,seconds,5.97E-09,1.12E-09,1.12E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
107.5629,,,seconds,5.06E-09,9.48E-10,9.48E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
108.618,,,seconds,4.83E-09,9.07E-10,9.07E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
109.655,,,seconds,4.50E-09,8.35E-10,8.35E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
110.6966,,,seconds,5.26E-09,9.48E-10,9.48E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
111.558,,,seconds,5.83E-09,1.02E-09,1.02E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
112.4645,,,seconds,4.41E-09,7.74E-10,7.74E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
113.3012,,,seconds,5.08E-09,8.53E-10,8.53E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
114.0149,,,seconds,3.78E-09,7.10E-10,7.10E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
114.8381,,,seconds,4.32E-09,7.33E-10,7.33E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
115.7473,,,seconds,3.26E-09,6.11E-10,6.11E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
116.6534,,,seconds,4.47E-09,7.40E-10,7.40E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
117.5449,,,seconds,4.11E-09,6.86E-10,6.86E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
118.5586,,,seconds,3.11E-09,5.64E-10,5.64E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
119.425,,,seconds,4.03E-09,6.49E-10,6.49E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
120.437,,,seconds,4.00E-09,6.35E-10,6.35E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
121.45,,,seconds,3.84E-09,5.99E-10,5.99E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
122.4958,,,seconds,4.23E-09,6.60E-10,6.60E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
123.3394,,,seconds,3.69E-09,6.55E-10,6.55E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
124.0199,,,seconds,2.84E-09,5.11E-10,5.11E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
124.8863,,,seconds,4.36E-09,6.91E-10,6.91E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
125.6956,,,seconds,2.88E-09,5.19E-10,5.19E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
126.4948,,,seconds,3.31E-09,5.92E-10,5.92E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
127.4071,,,seconds,2.65E-09,4.82E-10,4.82E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
128.1357,,,seconds,3.79E-09,6.34E-10,6.34E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
128.8765,,,seconds,4.63E-09,6.89E-10,6.89E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
129.6786,,,seconds,3.53E-09,6.10E-10,6.10E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
130.3514,,,seconds,3.39E-09,5.90E-10,5.90E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
131.0768,,,seconds,3.57E-09,6.14E-10,6.14E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
131.8802,,,seconds,2.77E-09,4.88E-10,4.88E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
132.6178,,,seconds,3.52E-09,6.09E-10,6.09E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
133.2962,,,seconds,3.26E-09,5.64E-10,5.64E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
134.2085,,,seconds,2.49E-09,4.39E-10,4.39E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
135.1271,,,seconds,3.98E-09,6.00E-10,6.00E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
135.9693,,,seconds,3.85E-09,6.16E-10,6.16E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
136.7179,,,seconds,3.77E-09,6.66E-10,6.66E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
137.3547,,,seconds,3.13E-09,5.53E-10,5.53E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
138.2492,,,seconds,2.58E-09,4.54E-10,4.54E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
