Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
3400.0,s,2.433470777,0.33909019,0.33909019,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,slop,1.0
3900.0,s,2.273898922,0.249331022,0.249331022,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,slop,1.0
4200.0,s,1.90488901,0.159571854,0.159571854,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,slop,1.0
4400.0,s,1.635611506,0.209438059,0.209438059,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,slop,1.0
38200.0,s,0.204451438,0.013962537,0.013962537,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,slop,1.0
55300.0,s,0.117684242,0.010970565,0.010970565,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,slop,1.0
92800.0,s,0.063230347,0.006781804,0.006781804,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,slop,1.0
3800.0,s,0.624130914,0.077212072,0.077212072,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,slop,1.0
4000.0,s,0.536623899,0.071421166,0.071421166,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,slop,1.0
4400.0,s,0.39764217,0.049544413,0.049544413,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,slop,1.0
44400.0,s,0.032557757,0.004053634,0.004053634,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,slop,1.0
60300.0,s,0.022584531,0.004439694,0.004439694,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,slop,1.0
3600.0,s,0.129756997,0.014417444,0.014417444,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,slop,1.0
3700.0,s,0.120545852,0.012014537,0.012014537,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,slop,1.0
3900.0,s,0.09932017,0.024429558,0.024429558,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,slop,1.0
4400.0,s,0.110934223,0.01842229,0.01842229,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,slop,1.0
32400.0,s,0.011133471,0.001922326,0.001922326,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,slop,1.0
