Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits
338733.4,,,seconds,0.019589631,0.001804272,0.001804272,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
400423,,,seconds,0.014997755,0.000690672,0.000690672,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
487168.6,,,seconds,0.014455271,0.001597656,0.001597656,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
554647,,,seconds,0.01148223,0.000105755,0.000105755,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
574259.8,,,seconds,0.010000604,0.000736872,0.000736872,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
659363.8,,,seconds,0.009037041,0.000665874,0.000665874,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
746714.2,,,seconds,0.006607334,0.00073027,0.00073027,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
833632.6,,,seconds,0.005200274,0.00038317,0.00038317,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
858861.4,,,seconds,0.005445356,0.000952918,0.000952918,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
939558.9997,,,seconds,0.005445356,0.000802457,0.000802457,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1073219.8,,,seconds,0.004699225,0.000822348,0.000822348,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1159187.8,,,seconds,0.003872811,0.00017835,0.00017835,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1245501.4,,,seconds,0.003564727,0.000328323,0.000328323,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1331987.8,,,seconds,0.003281151,0.000181323,0.000181323,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1505047,,,seconds,0.002910893,0.000268103,0.000268103,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1591360.6,,,seconds,0.002421175,0.000156099,0.000156099,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1592224.6,,,seconds,0.002421175,0.000200699,0.000200699,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1699187.8,,,seconds,0.001614456,0.000193306,0.000193306,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1764247,,,seconds,0.00214796,0.000296752,0.000296752,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1783514.2,,,seconds,0.002051286,0.000226717,0.000226717,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1850733.4,,,seconds,0.002249191,0.000186442,0.000186442,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1871642.2,,,seconds,0.001659687,0.000198722,0.000198722,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
2567680.6,,,seconds,0.001270651,2.34E-05,2.34E-05,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
3508663,,,seconds,0.000855118,2.36E-05,2.36E-05,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
3856250.2,,,seconds,0.000731183,0.000114486,0.000114486,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
4829805.4,,,seconds,0.000559791,4.12E-05,4.12E-05,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
80138.2,,,seconds,0.444658142,0.069622698,0.069622698,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
142346.2,,,seconds,0.187079521,0.001723066,0.001723066,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
231251.8,,,seconds,0.088720963,0.001634301,0.001634301,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
338733.4,,,seconds,0.056497112,0.002081431,0.002081431,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
400423,,,seconds,0.037327272,0.000687594,0.000687594,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
487168.6,,,seconds,0.034675781,0.002874382,0.002874382,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
554647,,,seconds,0.028842058,0.000265645,0.000265645,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
574259.8,,,seconds,0.023989779,0.001325724,0.001325724,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
659363.8,,,seconds,0.019953829,0.001102689,0.001102689,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
746714.2,,,seconds,0.014860255,0.001231812,0.001231812,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
833632.6,,,seconds,0.014860255,0.000821208,0.000821208,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
858861.4,,,seconds,0.017379059,0.002080872,0.002080872,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
918218.1997,,,seconds,0.014061325,0.001554115,0.001554115,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
939558.9997,,,seconds,0.012942741,0.000953656,0.000953656,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
986387.7997,,,seconds,0.012246902,0.002932752,0.002932752,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1073219.8,,,seconds,0.010375911,0.001337919,0.001337919,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1119616.6,,,seconds,0.009462944,0.001743139,0.001743139,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1159187.8,,,seconds,0.008872096,0.00032686,0.00032686,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1178455,,,seconds,0.008551184,0.000551315,0.000551315,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1245501.4,,,seconds,0.008166317,0.000902575,0.000902575,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1264250.2,,,seconds,0.008017265,0.000959943,0.000959943,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1331987.8,,,seconds,0.006855297,0.000315698,0.000315698,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1369399,,,seconds,0.007379488,0.001359352,0.001359352,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1455367,,,seconds,0.008166317,0.00082736,0.00082736,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1505047,,,seconds,0.006081718,0.000448118,0.000448118,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1541680.6,,,seconds,0.005105359,0.000611287,0.000611287,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1591360.6,,,seconds,0.005345967,0.000344667,0.000344667,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1628512.6,,,seconds,0.004571158,0.000631529,0.000631529,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1699187.8,,,seconds,0.00483088,0.000667411,0.000667411,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1764247,,,seconds,0.005058552,0.000559092,0.000559092,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1783341.4,,,seconds,0.004365422,0.001005176,0.001005176,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1783514.2,,,seconds,0.006137991,0.000282665,0.000282665,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1850733.4,,,seconds,0.00452925,0.000333727,0.000333727,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1871642.2,,,seconds,0.005649711,0.000572393,0.000572393,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1957783,,,seconds,0.003908645,0.000539999,0.000539999,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2567680.6,,,seconds,0.002884206,5.31E-05,5.31E-05,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2616496.6,,,seconds,0.002992445,0.000661475,0.000661475,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2905245.4,,,seconds,0.002051286,0.000510112,0.000510112,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
3336295,,,seconds,0.001570458,0.000665365,0.000665365,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
3508663,,,seconds,0.001614456,5.95E-05,5.95E-05,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
3856250.2,,,seconds,0.00203248,0.000355677,0.000355677,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
80138.2,,,seconds,0.731183275,0.101016703,0.101016703,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
142346.2,,,seconds,0.353204517,0.006506268,0.006506268,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
231251.8,,,seconds,0.158498899,0.002919658,0.002919658,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
338733.4,,,seconds,0.106666059,0.005894584,0.005894584,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
400423,,,seconds,0.069187279,0.001274477,0.001274477,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
487168.6,,,seconds,0.055979143,0.003093522,0.003093522,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
574259.8,,,seconds,0.043253997,0.002390304,0.002390304,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
659363.8,,,seconds,0.034042876,0.001881279,0.001881279,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
746714.2,,,seconds,0.025587405,0.00188535,0.00188535,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
833632.6,,,seconds,0.021878939,0.001007562,0.001007562,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
858861.4,,,seconds,0.01584989,0.003795555,0.003795555,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
918218.1997,,,seconds,0.018707952,0.001206146,0.001206146,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1264250.2,,,seconds,0.012023371,0.00166109,0.00166109,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1699187.8,,,seconds,0.009638873,0.000710218,0.000710218,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1783514.2,,,seconds,0.009550503,0.000615744,0.000615744,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1869655,,,seconds,0.004699225,0.001428288,0.001428288,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1871642.2,,,seconds,0.009462944,0.003311963,0.003311963,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1957783,,,seconds,0.003133475,0.001125555,0.001125555,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
3376.254,,,seconds,7.78E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3381.482,,,seconds,9.22E-08,3.67E-09,3.67E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3386.421,,,seconds,8.45E-08,3.38E-09,3.38E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3391.608,,,seconds,8.21E-08,3.29E-09,3.29E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3396.83,,,seconds,8.38E-08,3.37E-09,3.37E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3402.133,,,seconds,8.62E-08,3.45E-09,3.45E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3407.352,,,seconds,8.26E-08,3.30E-09,3.30E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3412.592,,,seconds,8.12E-08,3.24E-09,3.24E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3417.883,,,seconds,8.35E-08,3.31E-09,3.31E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3423.1,,,seconds,8.10E-08,3.30E-09,3.30E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3428.597,,,seconds,8.02E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3433.928,,,seconds,8.26E-08,3.30E-09,3.30E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3439.36,,,seconds,7.99E-08,3.23E-09,3.23E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3444.856,,,seconds,7.56E-08,3.06E-09,3.06E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3450.769,,,seconds,7.55E-08,3.03E-09,3.03E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3456.297,,,seconds,8.11E-08,3.25E-09,3.25E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3461.747,,,seconds,7.85E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3467.159,,,seconds,8.55E-08,3.42E-09,3.42E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3472.455,,,seconds,7.92E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3478.072,,,seconds,8.08E-08,3.24E-09,3.24E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3483.601,,,seconds,7.95E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3488.73,,,seconds,8.77E-08,3.47E-09,3.47E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3494.097,,,seconds,8.23E-08,3.26E-09,3.26E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3499.616,,,seconds,7.23E-08,2.95E-09,2.95E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3505.827,,,seconds,7.50E-08,3.00E-09,3.00E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3511.571,,,seconds,7.81E-08,3.16E-09,3.16E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3517.36,,,seconds,7.19E-08,2.92E-09,2.92E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3523.327,,,seconds,7.65E-08,3.05E-09,3.05E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3529.029,,,seconds,7.64E-08,3.09E-09,3.09E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3534.464,,,seconds,8.03E-08,3.25E-09,3.25E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3539.836,,,seconds,8.43E-08,3.35E-09,3.35E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3545.236,,,seconds,7.91E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3550.954,,,seconds,8.15E-08,3.28E-09,3.28E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3556.307,,,seconds,7.73E-08,3.09E-09,3.09E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3561.97,,,seconds,8.11E-08,3.28E-09,3.28E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3567.577,,,seconds,7.67E-08,3.08E-09,3.08E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3573.534,,,seconds,6.95E-08,2.83E-09,2.83E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3579.679,,,seconds,7.73E-08,3.10E-09,3.10E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3585.614,,,seconds,7.47E-08,3.02E-09,3.02E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3591.568,,,seconds,7.28E-08,2.94E-09,2.94E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3597.374,,,seconds,7.38E-08,2.95E-09,2.95E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3603.449,,,seconds,7.35E-08,2.96E-09,2.96E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3609.124,,,seconds,8.23E-08,3.28E-09,3.28E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3615.08,,,seconds,7.01E-08,2.81E-09,2.81E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3620.876,,,seconds,8.16E-08,3.26E-09,3.26E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3626.416,,,seconds,7.39E-08,2.95E-09,2.95E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3632.548,,,seconds,7.19E-08,2.90E-09,2.90E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3638.476,,,seconds,7.62E-08,3.05E-09,3.05E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3644.38,,,seconds,7.73E-08,3.10E-09,3.10E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3650.308,,,seconds,7.25E-08,2.90E-09,2.90E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3656.491,,,seconds,7.22E-08,2.86E-09,2.86E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3662.389,,,seconds,7.65E-08,3.07E-09,3.07E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3668.122,,,seconds,7.86E-08,3.16E-09,3.16E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3673.796,,,seconds,7.48E-08,2.99E-09,2.99E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3679.702,,,seconds,7.57E-08,3.03E-09,3.03E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3685.743,,,seconds,7.25E-08,2.90E-09,2.90E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3691.615,,,seconds,7.82E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3697.643,,,seconds,6.89E-08,2.76E-09,2.76E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3703.781,,,seconds,8.00E-08,3.17E-09,3.17E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
3709.361,,,seconds,7.10E-08,2.86E-09,2.86E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
